"gene_id","KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1"
"ENSMUSG00000000001",5466.75832176878,5499.70459067395,4348.51095822987,5153.08333744844,5529.99268017992,4483.11545748556,5472.86188058521,5556.23101498693,5499.69854798649,5155.56480427028,6133.03066269577,5683.26923763118
"ENSMUSG00000000028",1220.36774936257,1006.12117945946,1145.39092127866,1197.00630843787,1086.99747776327,1056.4157562586,693.648203896978,844.376317551328,628.294392205326,738.741103988512,902.930375147409,678.448675762996
"ENSMUSG00000000031",17911.5392504869,15671.292548416,23591.6204187971,12405.2507711543,23965.2987223399,21560.2717899533,12363.3251875812,21096.5981842818,25956.4120779825,20780.7202998098,15438.1699464345,29615.1257491322
"ENSMUSG00000000037",30.5747109718612,12.7357111323982,9.03305142964243,27.8596973873983,23.109395196542,5.47771132874829,98.7719125290194,73.6560883831121,59.43325331672,87.0420031889788,115.290632626221,113.261679755475
"ENSMUSG00000000049",1.74712634124921,0,1.80661028592849,0.960679220255115,0.855903525797852,0,0,5.33739770892116,1.06130809494143,6.69553870684452,1.0774825479086,4.48561107942477
"ENSMUSG00000000056",324.965499472353,402.236209931576,336.932818325663,294.92852061832,303.845751658237,304.40424384044,413.046179666809,321.311342077054,440.442859400693,374.950167583293,330.787142207941,294.928928472179
"ENSMUSG00000000058",2288.73550703647,2173.56136659596,2279.94218084175,2453.57472853156,1777.71162308214,2472.79539983494,3442.42563325571,3196.03374810199,2673.43509115746,2635.81040426113,3956.51591592039,2968.35313180934
"ENSMUSG00000000078",4514.57446578796,4484.0316278652,3758.65269987422,4182.79732499077,4446.41881651984,3977.60095486108,5213.58561019654,4511.16854358017,7038.59528565156,4325.31800462156,6094.24129097106,6048.8465406043
"ENSMUSG00000000085",812.413748680883,819.330749517617,888.852260676816,944.347673510778,836.217744704501,835.742242729024,868.743867016603,882.805581055561,821.452465484666,982.01234367053,894.310514764141,904.972035273947
"ENSMUSG00000000088",1333.93096154377,1479.46510988026,1161.65041385202,1622.58720301089,1339.48901787364,1360.03746990922,794.664932619838,1038.65759415606,1111.18957540368,986.47603614176,1387.79752170628,1047.39018704568
"ENSMUSG00000000093",79.4942485268391,95.5178334929865,111.106532584602,73.0116207393888,118.114686560104,137.725313408528,208.767906027246,179.336563019751,246.223478026412,403.964168646286,157.312451994656,239.980192749225
"ENSMUSG00000000094",0.873563170624605,0,0,0,0.855903525797852,0,0,0,0,4.46369247122968,0,1.12140276985619
"ENSMUSG00000000120",5.24137902374763,9.55178334929865,18.9694080022491,11.5281506430614,7.70313173218067,19.5632547455296,4.4896323876827,2.13495908356847,4.24523237976572,10.0433080602668,0,2.24280553971238
"ENSMUSG00000000126",320.59768361923,285.492191217926,354.095616041983,323.748897225974,218.255399078452,369.354249595599,346.824101948489,137.704860890166,206.955078513579,245.503085917632,146.53762651557,248.951414908075
"ENSMUSG00000000127",549.471234322877,560.371289825521,550.112832065224,557.193947747967,536.651510675253,411.610879845943,557.836824169576,782.462504127843,769.448368832536,697.451948629638,874.915828901786,751.339855803649
"ENSMUSG00000000131",1305.10337691316,1481.58772840232,1335.98830644412,1346.87226679767,1271.01673580981,1485.24230028061,1079.75658923769,1010.90312606967,1000.81353352977,908.36141789524,909.395270434861,1009.26249287057
"ENSMUSG00000000134",1446.62061055435,1354.23061707834,1448.90144931465,1469.83920699033,1448.18876564997,1545.49712489684,2201.04227806144,1776.28595752896,1742.66789189383,1585.72675040434,1729.35948939331,1751.63112651537
"ENSMUSG00000000142",129.287349252442,98.701761276086,68.6511908652825,114.320827210359,125.817818292284,146.333145496561,85.3030153659713,93.9381996770125,105.069501399201,102.664926838283,82.9661561889624,107.654665906194
"ENSMUSG00000000148",428.045953606057,520.04153790626,508.560795488869,446.715837418629,392.859718341214,521.947636610729,431.004709217539,579.641391188838,451.055940350107,517.788326662643,466.549943244425,514.723871363992
"ENSMUSG00000000149",2249.42516435836,2045.14294601094,2264.58599341136,2472.78831293667,1936.05377535474,2253.68694668501,2243.69378574443,1905.45098208486,1732.05481094441,1994.15461152186,1601.13906619218,1899.65629213639
"ENSMUSG00000000154",1.74712634124921,7.42916482723228,6.3231360007497,6.72475454178581,5.99132468058496,11.7379528473178,10.1016728722861,6.4048772507054,6.36784856964858,3.34776935342226,3.23244764372581,12.3354304684181
"ENSMUSG00000000157",0,0,0,0,3.42361410319141,0,7.85685667844473,0,3.18392428482429,4.46369247122968,6.46489528745162,1.12140276985619
"ENSMUSG00000000159",0.873563170624605,4.24523704413273,2.70991542889273,4.80339610127558,22.2534916707442,5.47771132874829,77.4461586875266,57.6438952563486,45.6362480824815,58.0280021259859,62.493987778699,40.3704997148229
"ENSMUSG00000000167",21.8390792656151,21.2261852206637,22.5826285741061,23.0563012861228,20.5416846191484,16.4331339862449,21.3257538414928,22.4170703774689,23.3487780887114,25.6662317095707,30.1695113414409,12.3354304684181
