"gene_id","KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1"
"ENSMUSG00000000001",12.450044139721,12.4585149746406,12.128328734608,12.366801016901,12.4662587149345,12.1710733996675,12.4516171885834,12.4729336110889,12.4585134255541,12.3674787647468,12.6123672703027,12.5048216933042
"ENSMUSG00000000028",10.3952331265104,10.1445076723474,10.3123818356295,10.3699271637693,10.244370661145,10.2074224247978,9.67593642544139,9.92112244422529,9.55494638006642,9.75380233669391,10.0060710852026,9.64870121086651
"ENSMUSG00000000031",14.1389732631702,13.9476816759094,14.5338715163011,13.6136029109827,14.5564214774357,14.4047119161693,13.6087690983776,14.373535617675,14.6709723049891,14.351904235291,13.9262369987762,14.8603327594671
"ENSMUSG00000000037",6.98936085302794,6.65118333344906,6.55223903871155,6.9466586738772,6.86606699886241,6.4346045171601,7.70112769434818,7.49038045226028,7.35071724067176,7.60746919936828,7.82165783419954,7.80748350145892
"ENSMUSG00000000049",6.25314292536369,6.01639165771519,6.25713032448453,6.19203769948702,6.18219404959089,6.01639165771519,6.01639165771519,6.4292501558031,6.20099597637832,6.47840645791544,6.20239542172056,6.39508015123197
"ENSMUSG00000000056",8.79770146366677,9.03259059293368,8.83678024113932,8.69445113220297,8.72591913499298,8.72786625217819,9.06251015808017,8.78554561825482,9.13559576414031,8.95409246989869,8.81684960612068,8.69445258807416
"ENSMUSG00000000058",11.238681856812,11.1681726197643,11.2334186284064,11.3339458982733,10.8955560856966,11.34465476992,11.801997178837,11.6988070376565,11.4519332928476,11.432415010889,11.9961036839014,11.5964052760111
"ENSMUSG00000000078",12.180883399479,12.1713600384993,11.9244552473606,12.0739032352698,12.1595451610655,12.0035330490201,12.3832355239084,12.1798245314597,12.8072489074783,12.1208339576843,12.6034016180989,12.592837953718
"ENSMUSG00000000085",9.87253087392787,9.88318750672277,9.98610274475956,10.0632519809771,9.90887537297433,9.90815833745325,9.95708898204354,9.97743987477532,9.88644045303264,10.1133413120643,9.99387781479822,10.0089439742706
"ENSMUSG00000000088",10.5122709822718,10.6495428746355,10.3307594397317,10.7728547383988,10.5177614913197,10.5378800098557,9.84481702289876,10.1855222260377,10.2729394802648,10.1191630522505,10.5646196082269,10.1963334705841
