"gene_id","WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1"
"ENSMUSG00000000001",6360.80329848319,8140.92386633202,6480.61367368296,5987.8403464134,5538.29999043422,6088.1544666042,6350.4389034125,6085.00643687167,5592.49554797942,6471.1072645732,5164.87198513319,5929.6444055849,4961.8287624411,5802.32076057265
"ENSMUSG00000000028",825.344189102867,865.185215997777,1004.25161359482,810.492840723586,1075.95180473962,846.340112417557,1034.68431468833,1051.33619066369,1004.71009749373,943.285487449607,901.425682100345,944.855470508036,1109.07602302578,1147.43568529047
"ENSMUSG00000000031",39585.9946480256,37979.3357966083,36808.0047939319,22874.5500195677,51757.8253600712,21496.6162136519,41466.6358834691,20524.1789479419,41863.2758756348,39673.9123194549,32125.4245013146,38180.9783236259,34742.6549246565,28324.8174802806
"ENSMUSG00000000037",41.8325136942549,39.9162729410739,37.7853867991362,66.3392716606494,23.2011170833341,42.2641754016258,33.2394466827389,29.8032742221379,17.0470430115585,9.49616262533161,26.745597161219,44.0865755062074,31.7504488329196,9.30604773147177
"ENSMUSG00000000049",2.26121695644621,0,0.839675262203026,0,4.83356605902795,1.05660438504065,2.55688051405684,0,1.06544018822241,0,1.98115534527548,2.00393525028215,1.09484306320413,0
"ENSMUSG00000000056",394.582358899864,456.043418351769,424.875682674731,355.732326296236,356.717175156262,314.868106742112,335.803640846131,298.032742221379,268.490927432047,371.405471568525,309.060233862975,364.716215551352,275.90045192744,296.862922633949
"ENSMUSG00000000058",2525.77934035042,2293.1898804647,2126.05776389806,2268.99537853815,1821.28769104173,3047.24704645722,1984.13927890811,2283.54742488243,2566.64541342778,2500.65615800399,2312.99886560913,2141.20481492648,2104.28836747833,2252.99415578932
"ENSMUSG00000000078",8107.59339733789,12606.5569016147,4959.12209857107,5934.96121682882,4134.6324068925,5427.7767259538,4085.04276795814,4833.26891954188,4848.81829660018,4438.92846275223,4314.95634201,4275.39585647698,3979.754534747,4242.62716077798
"ENSMUSG00000000085",702.107864976548,724.480353880491,834.637210629808,733.577743146021,1038.2499894792,630.792817869266,761.098099684252,907.458315108543,901.362399236157,854.654636279845,1042.0877116149,779.530812359758,951.418621924385,903.617234725909
"ENSMUSG00000000088",1240.27750061075,1218.44423152628,1323.32821323197,960.477280999837,1203.55794869796,1180.2270980904,1227.30264674728,1537.43787021787,1330.73479508979,1507.77959906654,1242.18440148773,1093.14667902892,1541.53903299141,1549.45694729005
"ENSMUSG00000000093",239.688997383298,211.556246587692,132.668691428078,256.704138165122,316.115220260428,246.18882171447,201.99356061049,76.049734222007,123.591061833799,78.0795593638377,139.671451841922,91.179053887838,114.958521636433,68.8647532128911
"ENSMUSG00000000094",0,0,0,0,0.966713211805589,0,1.70458700937122,0,0,2.1102583611848,0,0,0,0
"ENSMUSG00000000120",5.65304239111552,3.99162729410739,9.23642788423329,4.80719359859778,12.5672717534727,2.11320877008129,11.079815560913,4.11079644443281,7.45808131755685,5.27564590296201,19.8115534527548,1.00196762514108,4.3793722528165,1.86120954629435
"ENSMUSG00000000126",161.677012385904,165.652532705457,225.032970270411,198.056376262229,323.848925954872,352.905864603576,229.26695276043,225.066105332696,204.564516138702,214.191223660258,248.634995832073,182.358107775676,176.269733175864,203.802445319232
"ENSMUSG00000000127",940.666253881623,913.084743527065,699.449493415121,676.852858682568,653.498131180578,682.566432736257,698.028380337517,603.259378220515,532.720094111204,560.273594894565,536.893098569656,614.20615421148,555.085433044492,633.741850513227
"ENSMUSG00000000131",1299.06914147835,1661.5148611722,1262.03191909115,1142.18919902683,1211.2916543924,997.43453947837,1342.36226987984,1226.04503955209,1224.19077626755,1391.71538920138,1232.27862476135,1411.77238382378,1227.31907385182,1542.01210910487
"ENSMUSG00000000134",1755.83496668048,1942.92458540677,1460.19528097106,2037.28864708574,1795.18643432298,1938.86904654959,1529.86684091067,1483.99751644024,1502.27066539359,1526.77192431721,1525.48961586212,1393.73696657124,1475.84844919916,1508.51033727157
"ENSMUSG00000000142",72.3589426062787,80.8304527056746,88.1659025313178,79.7994137367232,158.540966736117,118.339691124552,208.811908647975,158.265663110663,117.198420704465,211.02583611848,180.285136420069,123.242017892352,182.838791555089,141.451925518371
"ENSMUSG00000000148",470.333126940812,397.166915763685,511.362234681643,532.637050724634,567.460655329881,440.604028561949,419.328404305321,429.578228443229,427.241515477185,366.129825665563,435.854175960606,439.863787436933,537.567944033226,471.816619985619
"ENSMUSG00000000149",2071.27473210473,2018.76550399481,2099.18815550757,2049.78735044209,2205.07283612855,2286.49188922796,2189.54201353734,2037.92733732757,2033.92531931658,1975.20182606898,2120.82679711741,2136.19497680078,2201.7294001035,2293.01016103464
"ENSMUSG00000000154",10.1754763040079,7.98325458821478,10.9157784086393,9.61438719719556,0.966713211805589,6.33962631024388,11.9321090655986,4.11079644443281,5.32720094111204,7.38590426414681,6.93404370846419,6.01180575084646,1.09484306320413,1.86120954629435
"ENSMUSG00000000157",6.78365086933863,2.99372047058054,0.839675262203026,3.84575487887823,1.93342642361118,5.28302192520323,0.852293504685612,2.0553982222164,3.19632056466722,0,0,1.00196762514108,0,0.930604773147177
"ENSMUSG00000000159",115.322064778757,137.711141646705,69.6930467628512,136.524298200177,76.3703437326415,120.452899894634,134.662373740327,76.049734222007,30.8977654584498,21.102583611848,48.5383059592493,64.1259280090289,39.4143502753485,19.5427002360907
"ENSMUSG00000000167",16.9591271733466,17.9623228234833,36.1060362747301,27.8817228718671,31.9015359895844,28.5283183960974,27.2733921499396,29.8032742221379,35.1595262113394,15.826937708886,31.6984855244077,21.0413201279626,39.4143502753485,26.056933648121
"ENSMUSG00000000168",1568.15395929545,1632.57556328992,1764.15772588856,1555.60784850624,1624.07819583339,1665.20851082406,1607.42554983707,1626.84769288428,1719.62046379097,1533.10269940076,1306.57195020918,1516.97898446359,1428.77019748138,1562.48541411411
"ENSMUSG00000000171",1864.3733805899,1819.18413928944,2009.34290245184,1487.34569940615,1754.58447942714,1550.03863285463,2189.54201353734,2435.64689332644,1963.6062668939,1922.44536703936,1394.73336307394,1940.81128989827,1711.23970778805,2204.60270758566
"ENSMUSG00000000184",3451.74768401514,5697.05005551477,3782.73705622463,2921.81226922773,3505.30210600707,2259.0201752169,3244.68137233813,3409.90565065702,2486.7373993111,2960.69248074228,2352.62197251464,3075.03864155797,2595.87290285698,3613.53833413049
"ENSMUSG00000000194",1684.60663255243,1742.34531387788,2032.01413453132,1689.24783054726,1915.05887258687,1534.18956707902,1896.35304792549,1726.53450666178,1513.99050746404,1592.18993351393,1652.28355795975,1793.52204900253,1663.06661300707,1698.3537109936
"ENSMUSG00000000197",9.04486782578484,8.98116141174163,0.839675262203026,1.92287743943911,0.966713211805589,4.22641754016258,5.11376102811368,6.16619466664921,0,3.1653875417772,0,0,2.18968612640825,0
"ENSMUSG00000000202",0,0,0,5.76863231831734,0,4.22641754016258,0,1.0276991111082,4.26176075288963,1.0551291805924,0,6.01180575084646,2.18968612640825,2.79181431944153
